"game_date","game","shot_type","team_abbreviation","shot_team","run_timestamp_utc","site","prob_model","line_model","prob","line","edge","kelly","units","units_standardized"
2026-05-22,"CON @ SEA","three point field goal","CON","CON three point field goal",2026-05-22 18:21:15.711949,"dk",0.1148,771,0.1429,600,-0.0281,-0.0164,-0.8189,-0.639765625
2026-05-22,"CON @ SEA","three point field goal","SEA","SEA three point field goal",2026-05-22 18:21:15.711949,"dk",0.1246,703,0.1667,500,-0.0421,-0.0253,-1.2633,-0.986953125
2026-05-22,"DAL @ ATL","two point field goal","DAL","DAL two point field goal",2026-05-22 18:21:15.711949,"dk",0.3714,169,0.4348,130,-0.0633,-0.056,-2.8013,-2.188515625
2026-05-22,"DAL @ ATL","two point field goal","ATL","ATL two point field goal",2026-05-22 18:21:15.711949,"dk",0.3794,164,0.4348,130,-0.0553,-0.049,-2.4475,-1.912109375
2026-05-22,"GSV @ IND","two point field goal","IND","IND two point field goal",2026-05-22 18:21:15.711949,"dk",0.3932,154,0.4651,115,-0.0719,-0.0672,-3.3618,-2.62640625
2026-05-22,"GSV @ IND","two point field goal","GSV","GSV two point field goal",2026-05-22 18:21:15.711949,"dk",0.3424,192,0.3571,180,-0.0147,-0.0115,-0.5725,-0.447265625
2026-05-22,"CON @ SEA","two point field goal","CON","CON two point field goal",2026-05-22 18:21:15.711949,"dk",0.4203,138,0.5122,-105,-0.0919,-0.0941,-4.7073,-3.677578125
2026-05-22,"CON @ SEA","two point field goal","SEA","SEA two point field goal",2026-05-22 18:21:15.711949,"dk",0.3403,194,0.3774,165,-0.037,-0.0297,-1.4871,-1.161796875
2026-05-22,"DAL @ ATL","three point field goal","DAL","DAL three point field goal",2026-05-22 18:51:14.245142,"dk",0.1112,800,0.1333,650,-0.0222,-0.0128,-0.6396,-0.4996875
2026-05-22,"DAL @ ATL","three point field goal","ATL","ATL three point field goal",2026-05-22 18:51:14.245142,"dk",0.1379,625,0.1905,425,-0.0525,-0.0324,-1.6224,-1.2675
2026-05-22,"GSV @ IND","three point field goal","IND","IND three point field goal",2026-05-22 18:51:14.245142,"dk",0.1335,649,0.1739,475,-0.0405,-0.0245,-1.2242,-0.95640625
2026-05-22,"GSV @ IND","three point field goal","GSV","GSV three point field goal",2026-05-22 18:51:14.245142,"dk",0.1309,664,0.2,400,-0.0691,-0.0432,-2.1585,-1.686328125
2026-05-22,"CON @ SEA","three point field goal","CON","CON three point field goal",2026-05-22 18:51:14.245142,"dk",0.1148,771,0.1429,600,-0.0281,-0.0164,-0.8189,-0.639765625
2026-05-22,"CON @ SEA","three point field goal","SEA","SEA three point field goal",2026-05-22 18:51:14.245142,"dk",0.1246,703,0.1667,500,-0.0421,-0.0253,-1.2633,-0.986953125
2026-05-22,"DAL @ ATL","two point field goal","DAL","DAL two point field goal",2026-05-22 18:51:14.245142,"dk",0.3714,169,0.4348,130,-0.0633,-0.056,-2.8013,-2.188515625
2026-05-22,"DAL @ ATL","two point field goal","ATL","ATL two point field goal",2026-05-22 18:51:14.245142,"dk",0.3794,164,0.4348,130,-0.0553,-0.049,-2.4475,-1.912109375
2026-05-22,"GSV @ IND","two point field goal","IND","IND two point field goal",2026-05-22 18:51:14.245142,"dk",0.3932,154,0.4651,115,-0.0719,-0.0672,-3.3618,-2.62640625
2026-05-22,"GSV @ IND","two point field goal","GSV","GSV two point field goal",2026-05-22 18:51:14.245142,"dk",0.3424,192,0.3571,180,-0.0147,-0.0115,-0.5725,-0.447265625
2026-05-22,"CON @ SEA","two point field goal","CON","CON two point field goal",2026-05-22 18:51:14.245142,"dk",0.4203,138,0.5122,-105,-0.0919,-0.0941,-4.7073,-3.677578125
2026-05-22,"CON @ SEA","two point field goal","SEA","SEA two point field goal",2026-05-22 18:51:14.245142,"dk",0.3403,194,0.3774,165,-0.037,-0.0297,-1.4871,-1.161796875
2026-05-22,"DAL @ ATL","three point field goal","DAL","DAL three point field goal",2026-05-22 19:21:16.693979,"dk",0.1112,800,0.1333,650,-0.0222,-0.0128,-0.6396,-0.4996875
2026-05-22,"DAL @ ATL","three point field goal","ATL","ATL three point field goal",2026-05-22 19:21:16.693979,"dk",0.1379,625,0.1905,425,-0.0525,-0.0324,-1.6224,-1.2675
2026-05-22,"GSV @ IND","three point field goal","IND","IND three point field goal",2026-05-22 19:21:16.693979,"dk",0.1335,649,0.1739,475,-0.0405,-0.0245,-1.2242,-0.95640625
2026-05-22,"GSV @ IND","three point field goal","GSV","GSV three point field goal",2026-05-22 19:21:16.693979,"dk",0.1309,664,0.2,400,-0.0691,-0.0432,-2.1585,-1.686328125
2026-05-22,"CON @ SEA","three point field goal","CON","CON three point field goal",2026-05-22 19:21:16.693979,"dk",0.1148,771,0.1429,600,-0.0281,-0.0164,-0.8189,-0.639765625
2026-05-22,"CON @ SEA","three point field goal","SEA","SEA three point field goal",2026-05-22 19:21:16.693979,"dk",0.1246,703,0.1667,500,-0.0421,-0.0253,-1.2633,-0.986953125
2026-05-22,"DAL @ ATL","two point field goal","DAL","DAL two point field goal",2026-05-22 19:21:16.693979,"dk",0.3714,169,0.4348,130,-0.0633,-0.056,-2.8013,-2.188515625
2026-05-22,"DAL @ ATL","two point field goal","ATL","ATL two point field goal",2026-05-22 19:21:16.693979,"dk",0.3794,164,0.4348,130,-0.0553,-0.049,-2.4475,-1.912109375
2026-05-22,"GSV @ IND","two point field goal","IND","IND two point field goal",2026-05-22 19:21:16.693979,"dk",0.3932,154,0.4651,115,-0.0719,-0.0672,-3.3618,-2.62640625
2026-05-22,"GSV @ IND","two point field goal","GSV","GSV two point field goal",2026-05-22 19:21:16.693979,"dk",0.3424,192,0.3571,180,-0.0147,-0.0115,-0.5725,-0.447265625
2026-05-22,"CON @ SEA","two point field goal","CON","CON two point field goal",2026-05-22 19:21:16.693979,"dk",0.4203,138,0.5122,-105,-0.0919,-0.0941,-4.7073,-3.677578125
2026-05-22,"CON @ SEA","two point field goal","SEA","SEA two point field goal",2026-05-22 19:21:16.693979,"dk",0.3403,194,0.3774,165,-0.037,-0.0297,-1.4871,-1.161796875
2026-05-22,"DAL @ ATL","three point field goal","DAL","DAL three point field goal",2026-05-22 19:51:15.631836,"dk",0.1112,800,0.1333,650,-0.0222,-0.0128,-0.6396,-0.4996875
2026-05-22,"DAL @ ATL","three point field goal","ATL","ATL three point field goal",2026-05-22 19:51:15.631836,"dk",0.1379,625,0.1905,425,-0.0525,-0.0324,-1.6224,-1.2675
2026-05-22,"GSV @ IND","three point field goal","IND","IND three point field goal",2026-05-22 19:51:15.631836,"dk",0.1335,649,0.1739,475,-0.0405,-0.0245,-1.2242,-0.95640625
2026-05-22,"GSV @ IND","three point field goal","GSV","GSV three point field goal",2026-05-22 19:51:15.631836,"dk",0.1309,664,0.2,400,-0.0691,-0.0432,-2.1585,-1.686328125
2026-05-22,"CON @ SEA","three point field goal","CON","CON three point field goal",2026-05-22 19:51:15.631836,"dk",0.1148,771,0.1429,600,-0.0281,-0.0164,-0.8189,-0.639765625
2026-05-22,"CON @ SEA","three point field goal","SEA","SEA three point field goal",2026-05-22 19:51:15.631836,"dk",0.1246,703,0.1667,500,-0.0421,-0.0253,-1.2633,-0.986953125
2026-05-22,"DAL @ ATL","two point field goal","DAL","DAL two point field goal",2026-05-22 19:51:15.631836,"dk",0.3714,169,0.4348,130,-0.0633,-0.056,-2.8013,-2.188515625
2026-05-22,"DAL @ ATL","two point field goal","ATL","ATL two point field goal",2026-05-22 19:51:15.631836,"dk",0.3794,164,0.4348,130,-0.0553,-0.049,-2.4475,-1.912109375
2026-05-22,"GSV @ IND","two point field goal","IND","IND two point field goal",2026-05-22 19:51:15.631836,"dk",0.3932,154,0.4651,115,-0.0719,-0.0672,-3.3618,-2.62640625
2026-05-22,"GSV @ IND","two point field goal","GSV","GSV two point field goal",2026-05-22 19:51:15.631836,"dk",0.3424,192,0.3571,180,-0.0147,-0.0115,-0.5725,-0.447265625
2026-05-22,"CON @ SEA","two point field goal","CON","CON two point field goal",2026-05-22 19:51:15.631836,"dk",0.4203,138,0.5122,-105,-0.0919,-0.0941,-4.7073,-3.677578125
2026-05-22,"CON @ SEA","two point field goal","SEA","SEA two point field goal",2026-05-22 19:51:15.631836,"dk",0.3403,194,0.3774,165,-0.037,-0.0297,-1.4871,-1.161796875
2026-05-22,"DAL @ ATL","three point field goal","DAL","DAL three point field goal",2026-05-22 20:21:16.413719,"dk",0.1112,800,0.1333,650,-0.0222,-0.0128,-0.6396,-0.4996875
2026-05-22,"DAL @ ATL","three point field goal","ATL","ATL three point field goal",2026-05-22 20:21:16.413719,"dk",0.1379,625,0.1905,425,-0.0525,-0.0324,-1.6224,-1.2675
2026-05-22,"GSV @ IND","three point field goal","IND","IND three point field goal",2026-05-22 20:21:16.413719,"dk",0.1335,649,0.1739,475,-0.0405,-0.0245,-1.2242,-0.95640625
2026-05-22,"GSV @ IND","three point field goal","GSV","GSV three point field goal",2026-05-22 20:21:16.413719,"dk",0.1309,664,0.2,400,-0.0691,-0.0432,-2.1585,-1.686328125
2026-05-22,"CON @ SEA","three point field goal","CON","CON three point field goal",2026-05-22 20:21:16.413719,"dk",0.1148,771,0.1429,600,-0.0281,-0.0164,-0.8189,-0.639765625
2026-05-22,"CON @ SEA","three point field goal","SEA","SEA three point field goal",2026-05-22 20:21:16.413719,"dk",0.1246,703,0.1667,500,-0.0421,-0.0253,-1.2633,-0.986953125
2026-05-22,"DAL @ ATL","two point field goal","DAL","DAL two point field goal",2026-05-22 20:21:16.413719,"dk",0.3714,169,0.4348,130,-0.0633,-0.056,-2.8013,-2.188515625
2026-05-22,"DAL @ ATL","two point field goal","ATL","ATL two point field goal",2026-05-22 20:21:16.413719,"dk",0.3794,164,0.4348,130,-0.0553,-0.049,-2.4475,-1.912109375
2026-05-22,"GSV @ IND","two point field goal","IND","IND two point field goal",2026-05-22 20:21:16.413719,"dk",0.3932,154,0.4651,115,-0.0719,-0.0672,-3.3618,-2.62640625
2026-05-22,"GSV @ IND","two point field goal","GSV","GSV two point field goal",2026-05-22 20:21:16.413719,"dk",0.3424,192,0.3571,180,-0.0147,-0.0115,-0.5725,-0.447265625
2026-05-22,"CON @ SEA","two point field goal","CON","CON two point field goal",2026-05-22 20:21:16.413719,"dk",0.4203,138,0.5122,-105,-0.0919,-0.0941,-4.7073,-3.677578125
2026-05-22,"CON @ SEA","two point field goal","SEA","SEA two point field goal",2026-05-22 20:21:16.413719,"dk",0.3403,194,0.3774,165,-0.037,-0.0297,-1.4871,-1.161796875
2026-05-22,"DAL @ ATL","three point field goal","DAL","DAL three point field goal",2026-05-22 20:51:16.029352,"dk",0.1112,800,0.1333,650,-0.0222,-0.0128,-0.6396,-0.4996875
2026-05-22,"DAL @ ATL","three point field goal","ATL","ATL three point field goal",2026-05-22 20:51:16.029352,"dk",0.1379,625,0.1905,425,-0.0525,-0.0324,-1.6224,-1.2675
2026-05-22,"GSV @ IND","three point field goal","IND","IND three point field goal",2026-05-22 20:51:16.029352,"dk",0.1335,649,0.1739,475,-0.0405,-0.0245,-1.2242,-0.95640625
2026-05-22,"GSV @ IND","three point field goal","GSV","GSV three point field goal",2026-05-22 20:51:16.029352,"dk",0.1309,664,0.2,400,-0.0691,-0.0432,-2.1585,-1.686328125
2026-05-22,"CON @ SEA","three point field goal","CON","CON three point field goal",2026-05-22 20:51:16.029352,"dk",0.1148,771,0.1429,600,-0.0281,-0.0164,-0.8189,-0.639765625
2026-05-22,"CON @ SEA","three point field goal","SEA","SEA three point field goal",2026-05-22 20:51:16.029352,"dk",0.1246,703,0.1667,500,-0.0421,-0.0253,-1.2633,-0.986953125
2026-05-22,"DAL @ ATL","two point field goal","DAL","DAL two point field goal",2026-05-22 20:51:16.029352,"dk",0.3714,169,0.4348,130,-0.0633,-0.056,-2.8013,-2.188515625
2026-05-22,"DAL @ ATL","two point field goal","ATL","ATL two point field goal",2026-05-22 20:51:16.029352,"dk",0.3794,164,0.4348,130,-0.0553,-0.049,-2.4475,-1.912109375
2026-05-22,"GSV @ IND","two point field goal","IND","IND two point field goal",2026-05-22 20:51:16.029352,"dk",0.3932,154,0.4651,115,-0.0719,-0.0672,-3.3618,-2.62640625
2026-05-22,"GSV @ IND","two point field goal","GSV","GSV two point field goal",2026-05-22 20:51:16.029352,"dk",0.3424,192,0.3571,180,-0.0147,-0.0115,-0.5725,-0.447265625
2026-05-22,"CON @ SEA","two point field goal","CON","CON two point field goal",2026-05-22 20:51:16.029352,"dk",0.4203,138,0.5122,-105,-0.0919,-0.0941,-4.7073,-3.677578125
2026-05-22,"CON @ SEA","two point field goal","SEA","SEA two point field goal",2026-05-22 20:51:16.029352,"dk",0.3403,194,0.3774,165,-0.037,-0.0297,-1.4871,-1.161796875
2026-05-22,"DAL @ ATL","three point field goal","DAL","DAL three point field goal",2026-05-22 21:21:16.425023,"dk",0.1112,800,0.1333,650,-0.0222,-0.0128,-0.6396,-0.4996875
2026-05-22,"DAL @ ATL","three point field goal","ATL","ATL three point field goal",2026-05-22 21:21:16.425023,"dk",0.1379,625,0.1905,425,-0.0525,-0.0324,-1.6224,-1.2675
2026-05-22,"GSV @ IND","three point field goal","IND","IND three point field goal",2026-05-22 21:21:16.425023,"dk",0.1335,649,0.1739,475,-0.0405,-0.0245,-1.2242,-0.95640625
2026-05-22,"GSV @ IND","three point field goal","GSV","GSV three point field goal",2026-05-22 21:21:16.425023,"dk",0.1309,664,0.2,400,-0.0691,-0.0432,-2.1585,-1.686328125
2026-05-22,"CON @ SEA","three point field goal","CON","CON three point field goal",2026-05-22 21:21:16.425023,"dk",0.1148,771,0.1429,600,-0.0281,-0.0164,-0.8189,-0.639765625
2026-05-22,"CON @ SEA","three point field goal","SEA","SEA three point field goal",2026-05-22 21:21:16.425023,"dk",0.1246,703,0.1667,500,-0.0421,-0.0253,-1.2633,-0.986953125
2026-05-22,"DAL @ ATL","two point field goal","DAL","DAL two point field goal",2026-05-22 21:21:16.425023,"dk",0.3714,169,0.4348,130,-0.0633,-0.056,-2.8013,-2.188515625
2026-05-22,"DAL @ ATL","two point field goal","ATL","ATL two point field goal",2026-05-22 21:21:16.425023,"dk",0.3794,164,0.4348,130,-0.0553,-0.049,-2.4475,-1.912109375
2026-05-22,"GSV @ IND","two point field goal","IND","IND two point field goal",2026-05-22 21:21:16.425023,"dk",0.3932,154,0.4651,115,-0.0719,-0.0672,-3.3618,-2.62640625
2026-05-22,"GSV @ IND","two point field goal","GSV","GSV two point field goal",2026-05-22 21:21:16.425023,"dk",0.3424,192,0.3571,180,-0.0147,-0.0115,-0.5725,-0.447265625
2026-05-22,"CON @ SEA","two point field goal","CON","CON two point field goal",2026-05-22 21:21:16.425023,"dk",0.4203,138,0.5122,-105,-0.0919,-0.0941,-4.7073,-3.677578125
2026-05-22,"CON @ SEA","two point field goal","SEA","SEA two point field goal",2026-05-22 21:21:16.425023,"dk",0.3403,194,0.3774,165,-0.037,-0.0297,-1.4871,-1.161796875
2026-05-22,"DAL @ ATL","three point field goal","DAL","DAL three point field goal",2026-05-22 21:51:16.356046,"dk",0.1112,800,0.1333,650,-0.0222,-0.0128,-0.6396,-0.4996875
2026-05-22,"DAL @ ATL","three point field goal","ATL","ATL three point field goal",2026-05-22 21:51:16.356046,"dk",0.1379,625,0.1905,425,-0.0525,-0.0324,-1.6224,-1.2675
2026-05-22,"GSV @ IND","three point field goal","IND","IND three point field goal",2026-05-22 21:51:16.356046,"dk",0.1335,649,0.1739,475,-0.0405,-0.0245,-1.2242,-0.95640625
2026-05-22,"GSV @ IND","three point field goal","GSV","GSV three point field goal",2026-05-22 21:51:16.356046,"dk",0.1309,664,0.2,400,-0.0691,-0.0432,-2.1585,-1.686328125
2026-05-22,"CON @ SEA","three point field goal","CON","CON three point field goal",2026-05-22 21:51:16.356046,"dk",0.1148,771,0.1429,600,-0.0281,-0.0164,-0.8189,-0.639765625
2026-05-22,"CON @ SEA","three point field goal","SEA","SEA three point field goal",2026-05-22 21:51:16.356046,"dk",0.1246,703,0.1667,500,-0.0421,-0.0253,-1.2633,-0.986953125
2026-05-22,"DAL @ ATL","two point field goal","DAL","DAL two point field goal",2026-05-22 21:51:16.356046,"dk",0.3714,169,0.4348,130,-0.0633,-0.056,-2.8013,-2.188515625
2026-05-22,"DAL @ ATL","two point field goal","ATL","ATL two point field goal",2026-05-22 21:51:16.356046,"dk",0.3794,164,0.4348,130,-0.0553,-0.049,-2.4475,-1.912109375
2026-05-22,"GSV @ IND","two point field goal","IND","IND two point field goal",2026-05-22 21:51:16.356046,"dk",0.3932,154,0.4651,115,-0.0719,-0.0672,-3.3618,-2.62640625
2026-05-22,"GSV @ IND","two point field goal","GSV","GSV two point field goal",2026-05-22 21:51:16.356046,"dk",0.3424,192,0.3571,180,-0.0147,-0.0115,-0.5725,-0.447265625
2026-05-22,"CON @ SEA","two point field goal","CON","CON two point field goal",2026-05-22 21:51:16.356046,"dk",0.4203,138,0.5122,-105,-0.0919,-0.0941,-4.7073,-3.677578125
2026-05-22,"CON @ SEA","two point field goal","SEA","SEA two point field goal",2026-05-22 21:51:16.356046,"dk",0.3403,194,0.3774,165,-0.037,-0.0297,-1.4871,-1.161796875
2026-05-22,"DAL @ ATL","three point field goal","DAL","DAL three point field goal",2026-05-22 22:21:16.772672,"dk",0.1112,800,0.1333,650,-0.0222,-0.0128,-0.6396,-0.4996875
2026-05-22,"DAL @ ATL","three point field goal","ATL","ATL three point field goal",2026-05-22 22:21:16.772672,"dk",0.1379,625,0.1905,425,-0.0525,-0.0324,-1.6224,-1.2675
2026-05-22,"GSV @ IND","three point field goal","IND","IND three point field goal",2026-05-22 22:21:16.772672,"dk",0.1335,649,0.1739,475,-0.0405,-0.0245,-1.2242,-0.95640625
2026-05-22,"GSV @ IND","three point field goal","GSV","GSV three point field goal",2026-05-22 22:21:16.772672,"dk",0.1309,664,0.2,400,-0.0691,-0.0432,-2.1585,-1.686328125
2026-05-22,"CON @ SEA","three point field goal","CON","CON three point field goal",2026-05-22 22:21:16.772672,"dk",0.1148,771,0.1429,600,-0.0281,-0.0164,-0.8189,-0.639765625
2026-05-22,"CON @ SEA","three point field goal","SEA","SEA three point field goal",2026-05-22 22:21:16.772672,"dk",0.1246,703,0.1667,500,-0.0421,-0.0253,-1.2633,-0.986953125
2026-05-22,"DAL @ ATL","two point field goal","DAL","DAL two point field goal",2026-05-22 22:21:16.772672,"dk",0.3714,169,0.4348,130,-0.0633,-0.056,-2.8013,-2.188515625
2026-05-22,"DAL @ ATL","two point field goal","ATL","ATL two point field goal",2026-05-22 22:21:16.772672,"dk",0.3794,164,0.4348,130,-0.0553,-0.049,-2.4475,-1.912109375
2026-05-22,"GSV @ IND","two point field goal","IND","IND two point field goal",2026-05-22 22:21:16.772672,"dk",0.3932,154,0.4651,115,-0.0719,-0.0672,-3.3618,-2.62640625
2026-05-22,"GSV @ IND","two point field goal","GSV","GSV two point field goal",2026-05-22 22:21:16.772672,"dk",0.3424,192,0.3571,180,-0.0147,-0.0115,-0.5725,-0.447265625
2026-05-22,"CON @ SEA","two point field goal","CON","CON two point field goal",2026-05-22 22:21:16.772672,"dk",0.4203,138,0.5122,-105,-0.0919,-0.0941,-4.7073,-3.677578125
2026-05-22,"CON @ SEA","two point field goal","SEA","SEA two point field goal",2026-05-22 22:21:16.772672,"dk",0.3403,194,0.3774,165,-0.037,-0.0297,-1.4871,-1.161796875
2026-05-22,"DAL @ ATL","three point field goal","DAL","DAL three point field goal",2026-05-22 22:51:14.909452,"dk",0.1112,800,0.1333,650,-0.0222,-0.0128,-0.6396,-0.4996875
2026-05-22,"DAL @ ATL","three point field goal","ATL","ATL three point field goal",2026-05-22 22:51:14.909452,"dk",0.1379,625,0.1905,425,-0.0525,-0.0324,-1.6224,-1.2675
2026-05-22,"GSV @ IND","three point field goal","IND","IND three point field goal",2026-05-22 22:51:14.909452,"dk",0.1335,649,0.1739,475,-0.0405,-0.0245,-1.2242,-0.95640625
2026-05-22,"GSV @ IND","three point field goal","GSV","GSV three point field goal",2026-05-22 22:51:14.909452,"dk",0.1309,664,0.2,400,-0.0691,-0.0432,-2.1585,-1.686328125
2026-05-22,"CON @ SEA","three point field goal","CON","CON three point field goal",2026-05-22 22:51:14.909452,"dk",0.1148,771,0.1429,600,-0.0281,-0.0164,-0.8189,-0.639765625
2026-05-22,"CON @ SEA","three point field goal","SEA","SEA three point field goal",2026-05-22 22:51:14.909452,"dk",0.1246,703,0.1667,500,-0.0421,-0.0253,-1.2633,-0.986953125
2026-05-22,"DAL @ ATL","two point field goal","DAL","DAL two point field goal",2026-05-22 22:51:14.909452,"dk",0.3714,169,0.4348,130,-0.0633,-0.056,-2.8013,-2.188515625
2026-05-22,"DAL @ ATL","two point field goal","ATL","ATL two point field goal",2026-05-22 22:51:14.909452,"dk",0.3794,164,0.4348,130,-0.0553,-0.049,-2.4475,-1.912109375
2026-05-22,"GSV @ IND","two point field goal","IND","IND two point field goal",2026-05-22 22:51:14.909452,"dk",0.3932,154,0.4651,115,-0.0719,-0.0672,-3.3618,-2.62640625
2026-05-22,"GSV @ IND","two point field goal","GSV","GSV two point field goal",2026-05-22 22:51:14.909452,"dk",0.3424,192,0.3571,180,-0.0147,-0.0115,-0.5725,-0.447265625
2026-05-22,"CON @ SEA","two point field goal","CON","CON two point field goal",2026-05-22 22:51:14.909452,"dk",0.4203,138,0.5122,-105,-0.0919,-0.0941,-4.7073,-3.677578125
2026-05-22,"CON @ SEA","two point field goal","SEA","SEA two point field goal",2026-05-22 22:51:14.909452,"dk",0.3403,194,0.3774,165,-0.037,-0.0297,-1.4871,-1.161796875
2026-05-22,"DAL @ ATL","three point field goal","DAL","DAL three point field goal",2026-05-22 23:21:14.747336,"dk",0.1112,800,0.1333,650,-0.0222,-0.0128,-0.6396,-0.4996875
2026-05-22,"DAL @ ATL","three point field goal","ATL","ATL three point field goal",2026-05-22 23:21:14.747336,"dk",0.1379,625,0.1905,425,-0.0525,-0.0324,-1.6224,-1.2675
2026-05-22,"GSV @ IND","three point field goal","IND","IND three point field goal",2026-05-22 23:21:14.747336,"dk",0.1331,652,0.1739,475,-0.0409,-0.0247,-1.2363,-0.965859375
2026-05-22,"GSV @ IND","three point field goal","GSV","GSV three point field goal",2026-05-22 23:21:14.747336,"dk",0.125,700,0.2,400,-0.075,-0.0469,-2.3442,-1.83140625
